station,station_type,rain_condition,year,month,day,PM2.5,NO2,RAIN
Aotizhongxin,Urban,No Rain,2013,3,1,7.125,22.583333333333332,0.0
Aotizhongxin,Urban,No Rain,2013,3,2,30.75,66.66666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,3,3,76.91666666666667,81.0,0.0
Aotizhongxin,Urban,No Rain,2013,3,4,22.708333333333332,46.1875,0.0
Aotizhongxin,Urban,No Rain,2013,3,5,148.875,132.83333333333334,0.0
Aotizhongxin,Urban,No Rain,2013,3,6,223.25,142.05938333333333,0.0
Aotizhongxin,Urban,No Rain,2013,3,7,263.375,147.75,0.0
Aotizhongxin,Urban,No Rain,2013,3,8,221.45833333333334,120.0927875,0.0
Aotizhongxin,Urban,No Rain,2013,3,9,62.041666666666664,45.0,0.0
Aotizhongxin,Urban,No Rain,2013,3,10,34.291666666666664,49.666666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,3,11,123.79166666666667,90.66666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,3,12,122.7,72.35,0.015000000000000003
Aotizhongxin,Urban,No Rain,2013,3,13,16.041666666666668,36.083333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,3,14,95.16666666666667,70.375,0.0
Aotizhongxin,Urban,No Rain,2013,3,15,212.29166666666666,99.41666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,3,16,244.875,90.375,0.0
Aotizhongxin,Urban,No Rain,2013,3,17,284.5416666666667,113.875,0.0
Aotizhongxin,Urban,No Rain,2013,3,18,70.66666666666667,46.166666666666664,0.004166666666666667
Aotizhongxin,Urban,No Rain,2013,3,19,39.75,47.75,0.0
Aotizhongxin,Urban,No Rain,2013,3,20,48.1578947368421,41.89473684210526,0.0
Aotizhongxin,Urban,No Rain,2013,3,21,148.95833333333334,85.75,0.0
Aotizhongxin,Urban,No Rain,2013,3,22,90.41666666666667,70.375,0.0
Aotizhongxin,Urban,No Rain,2013,3,23,52.75,57.625,0.0
Aotizhongxin,Urban,No Rain,2013,3,24,18.541666666666668,35.5,0.0
Aotizhongxin,Urban,No Rain,2013,3,25,102.25,87.25,0.0
Aotizhongxin,Urban,No Rain,2013,3,26,187.45833333333334,106.29166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,3,27,91.625,42.958333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,3,28,28.333333333333332,39.833333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,3,29,87.875,88.5,0.0
Aotizhongxin,Urban,No Rain,2013,3,30,79.54166666666667,68.20833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,3,31,174.25,72.66666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,4,1,94.91666666666667,39.083333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,2,99.58333333333333,68.95833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,4,3,124.16666666666667,87.70833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,4,4,64.0,80.76470588235294,0.011764705882352941
Aotizhongxin,Urban,No Rain,2013,4,5,45.421052631578945,29.94736842105263,0.010526315789473684
Aotizhongxin,Urban,No Rain,2013,4,6,11.0,27.041666666666668,0.0
Aotizhongxin,Urban,No Rain,2013,4,7,79.25,71.875,0.0
Aotizhongxin,Urban,No Rain,2013,4,8,25.833333333333332,21.375,0.0
Aotizhongxin,Urban,No Rain,2013,4,9,11.791666666666666,14.416666666666666,0.0
Aotizhongxin,Urban,No Rain,2013,4,10,12.75,32.458333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,11,22.916666666666668,61.52594166666666,0.0
Aotizhongxin,Urban,No Rain,2013,4,12,53.833333333333336,87.80354583333333,0.0
Aotizhongxin,Urban,No Rain,2013,4,13,61.583333333333336,53.5,0.0
Aotizhongxin,Urban,No Rain,2013,4,14,34.875,41.5,0.0
Aotizhongxin,Urban,No Rain,2013,4,15,74.70833333333333,74.29166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,4,16,57.041666666666664,49.458333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,17,47.958333333333336,52.708333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,18,11.041666666666666,28.932125,0.0
Aotizhongxin,Urban,No Rain,2013,4,19,49.56521739130435,56.08695652173913,0.004347826086956522
Aotizhongxin,Urban,No Rain,2013,4,20,69.58333333333333,55.125,0.0
Aotizhongxin,Urban,No Rain,2013,4,21,127.04166666666667,71.17055,0.0
Aotizhongxin,Urban,No Rain,2013,4,22,172.70833333333334,66.92082916666666,0.0
Aotizhongxin,Urban,No Rain,2013,4,23,183.83333333333334,62.25,0.0
Aotizhongxin,Urban,No Rain,2013,4,24,89.04166666666667,39.583333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,25,12.166666666666666,39.208333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,4,26,65.125,79.25,0.0
Aotizhongxin,Urban,No Rain,2013,4,27,64.5,68.89655,0.0
Aotizhongxin,Urban,No Rain,2013,4,28,71.95833333333333,60.291666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,4,29,14.625,24.125,0.0
Aotizhongxin,Urban,No Rain,2013,4,30,17.791666666666668,43.5,0.0
Aotizhongxin,Urban,No Rain,2013,5,1,35.125,47.875,0.0
Aotizhongxin,Urban,No Rain,2013,5,2,80.91666666666667,64.08333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,5,3,85.16666666666667,30.375,0.0
Aotizhongxin,Urban,No Rain,2013,5,4,101.95833333333333,37.208333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,5,5,197.41666666666666,72.16666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,6,221.375,50.25,0.0
Aotizhongxin,Urban,No Rain,2013,5,7,178.66666666666666,85.79166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,8,129.5,66.27272727272727,0.0
Aotizhongxin,Urban,No Rain,2013,5,9,52.0,62.875,0.0
Aotizhongxin,Urban,No Rain,2013,5,10,50.958333333333336,59.5,0.0
Aotizhongxin,Urban,No Rain,2013,5,11,43.083333333333336,71.16666666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,12,36.0,63.416666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,5,13,85.83333333333333,87.58333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,5,14,49.083333333333336,50.458333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,5,15,63.208333333333336,65.70833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,5,16,133.35416666666666,61.458333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,5,17,105.33333333333333,53.333333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,5,18,119.54166666666667,52.541666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,5,19,56.208333333333336,26.333333333333332,0.0
Aotizhongxin,Urban,No Rain,2013,5,20,38.958333333333336,50.25,0.0
Aotizhongxin,Urban,No Rain,2013,5,21,97.08333333333333,78.58333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,5,22,59.708333333333336,76.5,0.0
Aotizhongxin,Urban,No Rain,2013,5,23,62.416666666666664,96.04166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,24,103.95833333333333,75.29166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,25,59.791666666666664,62.458333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,5,26,99.47826086956522,56.43478260869565,0.008695652173913044
Aotizhongxin,Urban,No Rain,2013,5,27,72.15,58.6,0.01
Aotizhongxin,Urban,No Rain,2013,5,28,65.38888888888889,71.33333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,5,29,15.125,31.5,0.0
Aotizhongxin,Urban,No Rain,2013,5,30,55.166666666666664,81.54166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,5,31,94.70833333333333,52.833333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,6,1,69.95833333333333,61.041666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,6,2,153.70833333333334,67.70833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,6,3,118.45833333333333,78.75,0.0
Aotizhongxin,Urban,No Rain,2013,6,4,127.36363636363636,90.77272727272727,0.0
Aotizhongxin,Urban,No Rain,2013,6,5,139.05555555555554,55.833333333333336,0.011111111111111112
Aotizhongxin,Urban,No Rain,2013,6,6,126.79166666666667,58.541666666666664,0.012500000000000002
Aotizhongxin,Urban,No Rain,2013,6,7,129.8421052631579,70.94736842105263,0.0
Aotizhongxin,Urban,No Rain,2013,6,8,172.5909090909091,82.45454545454545,0.004545454545454546
Aotizhongxin,Urban,No Rain,2013,6,9,81.38461538461539,76.3076923076923,0.007692307692307693
Aotizhongxin,Urban,No Rain,2013,6,10,23.458333333333332,70.08333333333333,0.004166666666666667
Aotizhongxin,Urban,No Rain,2013,6,11,63.27272727272727,85.54545454545455,0.0
Aotizhongxin,Urban,No Rain,2013,6,12,60.125,69.08333333333333,0.004166666666666667
Aotizhongxin,Urban,No Rain,2013,6,13,112.70833333333333,84.58333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,6,14,109.95833333333333,78.95833333333333,0.0
Aotizhongxin,Urban,No Rain,2013,6,15,126.58333333333333,109.0,0.0
Aotizhongxin,Urban,No Rain,2013,6,16,170.77272727272728,89.5,0.009090909090909092
Aotizhongxin,Urban,No Rain,2013,6,17,43.583333333333336,56.0,0.0
Aotizhongxin,Urban,No Rain,2013,6,18,48.125,90.875,0.0
Aotizhongxin,Urban,No Rain,2013,6,19,52.416666666666664,59.1893,0.0
Aotizhongxin,Urban,No Rain,2013,6,20,56.208333333333336,97.48921250000001,0.0
Aotizhongxin,Urban,No Rain,2013,6,21,50.916666666666664,81.452775,0.0
Aotizhongxin,Urban,No Rain,2013,6,22,41.625,62.80896875,0.00625
Aotizhongxin,Urban,No Rain,2013,6,23,57.0,63.42059166666667,0.0
Aotizhongxin,Urban,No Rain,2013,6,24,105.52380952380952,61.3944761904762,0.004761904761904762
Aotizhongxin,Urban,No Rain,2013,6,25,117.27272727272727,60.25555,0.004545454545454546
Aotizhongxin,Urban,No Rain,2013,6,26,151.6875,59.579770833333335,0.0
Aotizhongxin,Urban,No Rain,2013,6,27,84.54166666666667,68.81827083333333,0.0
Aotizhongxin,Urban,No Rain,2013,6,28,314.6818181818182,76.2686909090909,0.0
Aotizhongxin,Urban,No Rain,2013,6,29,108.95454545454545,61.72727272727273,0.004545454545454546
Aotizhongxin,Urban,No Rain,2013,6,30,221.54166666666666,70.54166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,7,1,189.45,71.121595,0.005
Aotizhongxin,Urban,No Rain,2013,7,2,12.782608695652174,43.0,0.004347826086956522
Aotizhongxin,Urban,No Rain,2013,7,3,26.916666666666668,72.29166666666667,0.0
Aotizhongxin,Urban,No Rain,2013,7,4,21.565217391304348,58.30434782608695,0.004347826086956522
Aotizhongxin,Urban,No Rain,2013,7,5,19.791666666666668,45.916666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,7,6,57.36363636363637,61.36363636363637,0.0
Aotizhongxin,Urban,No Rain,2013,7,7,85.68181818181819,43.04545454545455,0.0
Aotizhongxin,Urban,No Rain,2013,7,8,91.13333333333334,58.0,0.020000000000000004
Aotizhongxin,Urban,No Rain,2013,7,9,98.28571428571429,67.14285714285714,0.0
Aotizhongxin,Urban,No Rain,2013,7,10,31.666666666666668,56.44444444444444,0.0
Aotizhongxin,Urban,No Rain,2013,7,11,34.416666666666664,57.924,0.0
Aotizhongxin,Urban,No Rain,2013,7,12,68.33333333333333,55.201375000000006,0.0
Aotizhongxin,Urban,No Rain,2013,7,13,129.45833333333334,47.791666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,7,14,105.57142857142857,46.38095238095238,0.0
Aotizhongxin,Urban,No Rain,2013,7,15,48.8,67.8,0.04
Aotizhongxin,Urban,No Rain,2013,7,16,23.041666666666668,41.375,0.004166666666666667
Aotizhongxin,Urban,No Rain,2013,7,17,41.541666666666664,59.916666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,7,18,145.66666666666666,53.583333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,7,19,130.20833333333334,49.791666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,7,20,79.66666666666667,49.583333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,7,21,76.375,57.791666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,7,22,85.5,62.20679583333333,0.0
Aotizhongxin,Urban,No Rain,2013,7,23,40.916666666666664,35.583333333333336,0.0
Aotizhongxin,Urban,No Rain,2013,7,24,35.916666666666664,50.0,0.0
Aotizhongxin,Urban,No Rain,2013,7,25,31.041666666666668,49.375,0.0
Aotizhongxin,Urban,No Rain,2013,7,26,51.75,64.7,0.0
Aotizhongxin,Urban,No Rain,2013,7,27,107.13636363636364,68.95454545454545,0.009090909090909092
Aotizhongxin,Urban,No Rain,2013,7,28,69.91666666666667,53.645833333333336,0.0
Aotizhongxin,Urban,No Rain,2013,7,29,58.916666666666664,81.58333333333333,0.0
Aotizhongxin,Urban,No Rain,2013,7,30,115.91304347826087,61.04347826086956,0.0
Aotizhongxin,Urban,No Rain,2013,7,31,36.76470588235294,53.26470588235294,0.0
Aotizhongxin,Urban,No Rain,2013,8,1,44.05,66.2,0.005
Aotizhongxin,Urban,No Rain,2013,8,2,69.58333333333333,59.041666666666664,0.0
Aotizhongxin,Urban,No Rain,2013,8,3,26.291666666666668,44.0076125,0.0
Aotizhongxin,Urban,No Rain,2013,8,4,77.76190476190476,43.40247619047619,0.004761904761904762
Aotizhongxin,Urban,No Rain,2013,8,5,45.125,48.402095833333334,0.0
Aotizhongxin,Urban,No Rain,2013,8,6,133.625,62.23908125,0.0
Aotizhongxin,Urban,No Rain,2013,8,7,36.15,42.99712,0.015000000000000003
